,loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0,2.9052,1.575211524963379,9.8e-05,1.0,2,,,,,,,,,,
1,,,,1.0,2,2.797867774963379,0.1774193548387097,0.1729,358.658,5.785,,,,,
2,2.7771,2.126749277114868,9.6e-05,2.0,4,,,,,,,,,,
3,,,,2.0,4,2.6779661178588867,0.1774193548387097,0.1723,359.935,5.805,,,,,
4,2.684,3.101926803588867,9.4e-05,3.0,6,,,,,,,,,,
5,,,,3.0,6,2.642732620239258,0.1774193548387097,0.1706,363.41,5.861,,,,,
6,2.6662,2.3571691513061523,9.200000000000001e-05,4.0,8,,,,,,,,,,
7,,,,4.0,8,2.5961806774139404,0.1774193548387097,0.1712,362.213,5.842,,,,,
8,2.5379,2.3983845710754395,9e-05,5.0,10,,,,,,,,,,
9,,,,5.0,10,2.493725538253784,0.1935483870967742,0.1719,360.708,5.818,,,,,
10,2.3677,3.638364315032959,8.800000000000001e-05,6.0,12,,,,,,,,,,
11,,,,6.0,12,2.3629820346832275,0.27419354838709675,0.1708,363.05,5.856,,,,,
12,2.1546,4.262073993682861,8.6e-05,7.0,14,,,,,,,,,,
13,,,,7.0,14,2.2283895015716553,0.3225806451612903,0.1717,361.175,5.825,,,,,
14,1.9347,4.400530815124512,8.4e-05,8.0,16,,,,,,,,,,
15,,,,8.0,16,2.07904314994812,0.41935483870967744,0.1721,360.306,5.811,,,,,
16,1.7503,4.297625541687012,8.2e-05,9.0,18,,,,,,,,,,
17,,,,9.0,18,2.0185537338256836,0.45161290322580644,0.1706,363.446,5.862,,,,,
18,1.5011,4.697577476501465,8e-05,10.0,20,,,,,,,,,,
19,,,,10.0,20,2.0040807723999023,0.43548387096774194,0.1736,357.193,5.761,,,,,
20,1.3275,4.9903717041015625,7.800000000000001e-05,11.0,22,,,,,,,,,,
21,,,,11.0,22,1.9436542987823486,0.46774193548387094,0.1719,360.58,5.816,,,,,
22,1.1577,4.580288410186768,7.6e-05,12.0,24,,,,,,,,,,
23,,,,12.0,24,1.9426759481430054,0.4838709677419355,0.1712,362.196,5.842,,,,,
24,0.9661,3.4904398918151855,7.4e-05,13.0,26,,,,,,,,,,
25,,,,13.0,26,1.8917741775512695,0.4838709677419355,0.1721,360.232,5.81,,,,,
26,0.8641,5.020871162414551,7.2e-05,14.0,28,,,,,,,,,,
27,,,,14.0,28,1.858490228652954,0.43548387096774194,0.1724,359.66,5.801,,,,,
28,0.7477,7.733806610107422,7e-05,15.0,30,,,,,,,,,,
29,,,,15.0,30,1.9190447330474854,0.46774193548387094,0.1709,362.831,5.852,,,,,
30,0.6609,6.349055290222168,6.800000000000001e-05,16.0,32,,,,,,,,,,
31,,,,16.0,32,1.825735330581665,0.4838709677419355,0.1737,356.882,5.756,,,,,
32,0.5614,5.153793811798096,6.6e-05,17.0,34,,,,,,,,,,
33,,,,17.0,34,2.0199713706970215,0.46774193548387094,0.1715,361.529,5.831,,,,,
34,0.4931,4.055131435394287,6.400000000000001e-05,18.0,36,,,,,,,,,,
35,,,,18.0,36,1.9035135507583618,0.532258064516129,0.1724,359.537,5.799,,,,,
36,0.4345,4.330414772033691,6.2e-05,19.0,38,,,,,,,,,,
37,,,,19.0,38,1.9287253618240356,0.4838709677419355,0.1712,362.131,5.841,,,,,
38,0.3864,3.7901978492736816,6e-05,20.0,40,,,,,,,,,,
39,,,,20.0,40,2.025764226913452,0.46774193548387094,0.1719,360.591,5.816,,,,,
40,0.3427,2.698338747024536,5.8e-05,21.0,42,,,,,,,,,,
41,,,,21.0,42,1.9493244886398315,0.5,0.1721,360.251,5.81,,,,,
42,0.3076,2.730860471725464,5.6000000000000006e-05,22.0,44,,,,,,,,,,
43,,,,22.0,44,2.0314974784851074,0.4838709677419355,0.1711,362.326,5.844,,,,,
44,0.2728,2.5651965141296387,5.4000000000000005e-05,23.0,46,,,,,,,,,,
45,,,,23.0,46,2.047834634780884,0.5,0.1721,360.188,5.809,,,,,
46,0.249,2.658029556274414,5.2000000000000004e-05,24.0,48,,,,,,,,,,
47,,,,24.0,48,2.0404202938079834,0.4838709677419355,0.1734,357.52,5.766,,,,,
48,0.2437,2.5833940505981445,5e-05,25.0,50,,,,,,,,,,
49,,,,25.0,50,2.0448479652404785,0.532258064516129,0.1719,360.595,5.816,,,,,
50,0.2044,2.14857816696167,4.8e-05,26.0,52,,,,,,,,,,
51,,,,26.0,52,2.08980131149292,0.5,0.1718,360.806,5.819,,,,,
52,0.2091,3.3067760467529297,4.600000000000001e-05,27.0,54,,,,,,,,,,
53,,,,27.0,54,2.171419858932495,0.5161290322580645,0.172,360.543,5.815,,,,,
54,0.2039,2.0410025119781494,4.4000000000000006e-05,28.0,56,,,,,,,,,,
55,,,,28.0,56,2.1285696029663086,0.5161290322580645,0.1745,355.367,5.732,,,,,
56,0.1727,2.2613468170166016,4.2e-05,29.0,58,,,,,,,,,,
57,,,,29.0,58,2.126451253890991,0.5,0.1733,357.854,5.772,,,,,
58,0.1717,2.3915247917175293,4e-05,30.0,60,,,,,,,,,,
59,,,,30.0,60,2.145723342895508,0.5161290322580645,0.1725,359.522,5.799,,,,,
60,0.1509,1.606674075126648,3.8e-05,31.0,62,,,,,,,,,,
61,,,,31.0,62,2.1613285541534424,0.5161290322580645,0.1734,357.617,5.768,,,,,
