,loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0,2.9251,1.5436800718307495,9.444444444444444e-05,1.0,2,,,,,,,,,,
1,,,,1.0,2,2.781987190246582,0.1774193548387097,0.1718,360.93,5.821,,,,,
2,2.7675,2.2314701080322266,8.888888888888889e-05,2.0,4,,,,,,,,,,
3,,,,2.0,4,2.6821086406707764,0.1774193548387097,0.1719,360.693,5.818,,,,,
4,2.6548,2.0439181327819824,8.333333333333334e-05,3.0,6,,,,,,,,,,
5,,,,3.0,6,2.6297943592071533,0.1774193548387097,0.1711,362.257,5.843,,,,,
6,2.592,2.5763204097747803,7.777777777777778e-05,4.0,8,,,,,,,,,,
7,,,,4.0,8,2.563549757003784,0.20967741935483872,0.1713,361.918,5.837,,,,,
8,2.4355,2.879810094833374,7.222222222222222e-05,5.0,10,,,,,,,,,,
9,,,,5.0,10,2.513664960861206,0.24193548387096775,0.1712,362.221,5.842,,,,,
10,2.2744,3.7795472145080566,6.666666666666667e-05,6.0,12,,,,,,,,,,
11,,,,6.0,12,2.401994228363037,0.3387096774193548,0.1715,361.573,5.832,,,,,
12,2.1017,3.8092288970947266,6.111111111111112e-05,7.0,14,,,,,,,,,,
13,,,,7.0,14,2.346897840499878,0.3225806451612903,0.1704,363.838,5.868,,,,,
14,1.9134,4.679643154144287,5.555555555555556e-05,8.0,16,,,,,,,,,,
15,,,,8.0,16,2.2107694149017334,0.3870967741935484,0.1717,361.169,5.825,,,,,
16,1.7445,4.4938788414001465,5e-05,9.0,18,,,,,,,,,,
17,,,,9.0,18,2.1677417755126953,0.3548387096774194,0.1704,363.834,5.868,,,,,
18,1.5238,4.571138381958008,4.4444444444444447e-05,10.0,20,,,,,,,,,,
19,,,,10.0,20,2.1276185512542725,0.3870967741935484,0.171,362.551,5.848,,,,,
20,1.3976,4.096313953399658,3.888888888888889e-05,11.0,22,,,,,,,,,,
21,,,,11.0,22,2.083158493041992,0.3870967741935484,0.1708,363.023,5.855,,,,,
22,1.2926,5.006586074829102,3.3333333333333335e-05,12.0,24,,,,,,,,,,
23,,,,12.0,24,2.054792642593384,0.3870967741935484,0.1698,365.083,5.888,,,,,
24,1.1553,4.206575393676758,2.777777777777778e-05,13.0,26,,,,,,,,,,
25,,,,13.0,26,2.085070848464966,0.4032258064516129,0.2966,209.06,3.372,,,,,
26,1.0747,4.392327785491943,2.2222222222222223e-05,14.0,28,,,,,,,,,,
27,,,,14.0,28,2.0821471214294434,0.41935483870967744,0.1697,365.299,5.892,,,,,
28,0.9951,4.648771286010742,1.6666666666666667e-05,15.0,30,,,,,,,,,,
29,,,,15.0,30,2.0603764057159424,0.41935483870967744,0.1701,364.405,5.878,,,,,
30,0.9626,5.036285877227783,1.1111111111111112e-05,16.0,32,,,,,,,,,,
31,,,,16.0,32,2.049837827682495,0.43548387096774194,0.17,364.769,5.883,,,,,
32,0.9013,3.4036989212036133,5.555555555555556e-06,17.0,34,,,,,,,,,,
33,,,,17.0,34,2.063032627105713,0.43548387096774194,0.1698,365.172,5.89,,,,,
34,0.8654,4.539628505706787,0.0,18.0,36,,,,,,,,,,
35,,,,18.0,36,2.0584793090820312,0.43548387096774194,0.1712,362.144,5.841,,,,,
36,,,,18.0,36,,,,,,39.1247,114.097,0.92,1174707026509824.0,1.7542897032366858
