,loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
73,,,,37.0,74,2.260972023010254,0.5,0.1713,361.974,5.838,,,,,
74,0.1207,1.779532790184021,2.4e-05,38.0,76,,,,,,,,,,
75,,,,38.0,76,2.258331298828125,0.4838709677419355,0.1717,361.006,5.823,,,,,
76,0.1163,1.6786062717437744,2.2000000000000003e-05,39.0,78,,,,,,,,,,
77,,,,39.0,78,2.2646896839141846,0.5161290322580645,0.1719,360.672,5.817,,,,,
78,0.1124,1.675500512123108,2e-05,40.0,80,,,,,,,,,,
79,,,,40.0,80,2.269665241241455,0.5161290322580645,0.1731,358.163,5.777,,,,,
80,0.1132,1.9111683368682861,1.8e-05,41.0,82,,,,,,,,,,
81,,,,41.0,82,2.280672073364258,0.5,0.1706,363.379,5.861,,,,,
82,0.1106,1.8031997680664062,1.6000000000000003e-05,42.0,84,,,,,,,,,,
83,,,,42.0,84,2.2991058826446533,0.5,0.1716,361.271,5.827,,,,,
84,0.1095,1.7328532934188843,1.4000000000000001e-05,43.0,86,,,,,,,,,,
85,,,,43.0,86,2.3108766078948975,0.5,0.2926,211.889,3.418,,,,,
86,0.1137,1.8971762657165527,1.2e-05,44.0,88,,,,,,,,,,
87,,,,44.0,88,2.3224384784698486,0.5,0.1726,359.149,5.793,,,,,
88,0.101,1.5986576080322266,1e-05,45.0,90,,,,,,,,,,
89,,,,45.0,90,2.331970453262329,0.4838709677419355,0.1734,357.618,5.768,,,,,
90,0.1108,1.9972246885299683,8.000000000000001e-06,46.0,92,,,,,,,,,,
91,,,,46.0,92,2.338977336883545,0.5,0.1712,362.046,5.839,,,,,
92,0.0987,1.1633750200271606,6e-06,47.0,94,,,,,,,,,,
93,,,,47.0,94,2.3487372398376465,0.4838709677419355,0.1735,357.309,5.763,,,,,
94,0.1042,1.5214786529541016,4.000000000000001e-06,48.0,96,,,,,,,,,,
95,,,,48.0,96,2.353259801864624,0.4838709677419355,0.1718,360.988,5.822,,,,,
96,0.0956,1.697906255722046,2.0000000000000003e-06,49.0,98,,,,,,,,,,
97,,,,49.0,98,2.3533432483673096,0.4838709677419355,0.1729,358.622,5.784,,,,,
98,0.1001,1.3486937284469604,0.0,50.0,100,,,,,,,,,,
99,,,,50.0,100,2.353191614151001,0.5,0.1746,355.13,5.728,,,,,
100,,,,50.0,100,,,,,,92.8336,133.572,1.077,3263075073638400.0,0.6720261394977569
