loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
2.9058,2.28108286857605,9.857142857142858e-05,1.0,2,,,,,,,,,,
,,,1.0,2,2.7584080696105957,0.18333333333333332,0.5153,116.433,1.941,,,,,
2.782,1.8832101821899414,9.714285714285715e-05,2.0,4,,,,,,,,,,
,,,2.0,4,2.639348268508911,0.18333333333333332,0.6425,93.383,1.556,,,,,
2.6853,1.8898262977600098,9.571428571428573e-05,3.0,6,,,,,,,,,,
,,,3.0,6,2.577648401260376,0.18333333333333332,0.5104,117.556,1.959,,,,,
2.587,2.1570467948913574,9.428571428571429e-05,4.0,8,,,,,,,,,,
,,,4.0,8,2.54986834526062,0.18333333333333332,0.5145,116.622,1.944,,,,,
2.5339,2.1235334873199463,9.285714285714286e-05,5.0,10,,,,,,,,,,
,,,5.0,10,2.4480082988739014,0.2,0.5168,116.089,1.935,,,,,
2.4956,1.914129614830017,9.142857142857143e-05,6.0,12,,,,,,,,,,
,,,6.0,12,2.33497953414917,0.3333333333333333,0.5097,117.714,1.962,,,,,
2.4213,2.1000819206237793,9e-05,7.0,14,,,,,,,,,,
,,,7.0,14,2.2530722618103027,0.36666666666666664,0.5076,118.197,1.97,,,,,
2.3049,2.8532721996307373,8.857142857142857e-05,8.0,16,,,,,,,,,,
,,,8.0,16,2.155937433242798,0.38333333333333336,0.5097,117.708,1.962,,,,,
2.2514,2.6531593799591064,8.714285714285715e-05,9.0,18,,,,,,,,,,
,,,9.0,18,2.061701536178589,0.38333333333333336,0.5118,117.233,1.954,,,,,
2.1135,2.7609758377075195,8.571428571428571e-05,10.0,20,,,,,,,,,,
,,,10.0,20,1.9605467319488525,0.4166666666666667,0.5102,117.594,1.96,,,,,
2.0872,2.4186878204345703,8.428571428571429e-05,11.0,22,,,,,,,,,,
,,,11.0,22,1.8780442476272583,0.43333333333333335,0.5112,117.362,1.956,,,,,
2.0098,2.4829490184783936,8.285714285714287e-05,12.0,24,,,,,,,,,,
,,,12.0,24,1.825631856918335,0.45,0.5128,117.002,1.95,,,,,
1.8977,2.585979700088501,8.142857142857143e-05,13.0,26,,,,,,,,,,
,,,13.0,26,1.755479097366333,0.48333333333333334,0.5064,118.479,1.975,,,,,
1.8639,2.7141098976135254,8e-05,14.0,28,,,,,,,,,,
,,,14.0,28,1.6595460176467896,0.5333333333333333,0.5063,118.509,1.975,,,,,
1.7297,3.031517267227173,7.857142857142858e-05,15.0,30,,,,,,,,,,
,,,15.0,30,1.581084966659546,0.5833333333333334,0.5098,117.682,1.961,,,,,
1.6802,2.6507985591888428,7.714285714285715e-05,16.0,32,,,,,,,,,,
,,,16.0,32,1.5182737112045288,0.5833333333333334,0.5121,117.165,1.953,,,,,
1.6116,2.298382043838501,7.571428571428571e-05,17.0,34,,,,,,,,,,
,,,17.0,34,1.5003352165222168,0.5666666666666667,0.5066,118.445,1.974,,,,,
1.5265,2.9591383934020996,7.428571428571429e-05,18.0,36,,,,,,,,,,
,,,18.0,36,1.4396311044692993,0.6166666666666667,0.5155,116.391,1.94,,,,,
1.4703,2.256870985031128,7.285714285714286e-05,19.0,38,,,,,,,,,,
,,,19.0,38,1.3627310991287231,0.6166666666666667,0.5173,115.982,1.933,,,,,
1.4185,2.05057954788208,7.142857142857143e-05,20.0,40,,,,,,,,,,
,,,20.0,40,1.289880633354187,0.65,0.5095,117.758,1.963,,,,,
1.3345,2.1901192665100098,7e-05,21.0,42,,,,,,,,,,
,,,21.0,42,1.2565038204193115,0.6666666666666666,0.5132,116.905,1.948,,,,,
1.2774,2.239586353302002,6.857142857142858e-05,22.0,44,,,,,,,,,,
,,,22.0,44,1.2163221836090088,0.6666666666666666,0.5134,116.877,1.948,,,,,
1.1724,1.9808235168457031,6.714285714285714e-05,23.0,46,,,,,,,,,,
,,,23.0,46,1.186361312866211,0.6666666666666666,0.5177,115.893,1.932,,,,,
1.1615,2.174915075302124,6.571428571428571e-05,24.0,48,,,,,,,,,,
,,,24.0,48,1.150745153427124,0.6666666666666666,0.5082,118.074,1.968,,,,,
1.0885,2.305748701095581,6.428571428571429e-05,25.0,50,,,,,,,,,,
,,,25.0,50,1.1334763765335083,0.6833333333333333,0.5156,116.373,1.94,,,,,
1.0747,2.1702513694763184,6.285714285714286e-05,26.0,52,,,,,,,,,,
,,,26.0,52,1.0953309535980225,0.6833333333333333,0.5151,116.488,1.941,,,,,
1.0482,2.012803554534912,6.142857142857143e-05,27.0,54,,,,,,,,,,
,,,27.0,54,1.0607078075408936,0.6833333333333333,0.5093,117.816,1.964,,,,,
1.0014,1.9621847867965698,6e-05,28.0,56,,,,,,,,,,
,,,28.0,56,1.0262476205825806,0.7,0.5102,117.603,1.96,,,,,
0.9305,2.0090436935424805,5.8571428571428575e-05,29.0,58,,,,,,,,,,
,,,29.0,58,1.011168122291565,0.7,0.5101,117.63,1.96,,,,,
0.9319,2.146751880645752,5.714285714285714e-05,30.0,60,,,,,,,,,,
,,,30.0,60,1.0110807418823242,0.7,0.5078,118.153,1.969,,,,,
0.8883,2.05226731300354,5.571428571428572e-05,31.0,62,,,,,,,,,,
,,,31.0,62,1.0097627639770508,0.7166666666666667,0.5047,118.88,1.981,,,,,
0.8756,2.253838062286377,5.428571428571428e-05,32.0,64,,,,,,,,,,
,,,32.0,64,0.989880383014679,0.7333333333333333,0.513,116.95,1.949,,,,,
0.7884,1.8919191360473633,5.285714285714286e-05,33.0,66,,,,,,,,,,
,,,33.0,66,0.9753456711769104,0.7333333333333333,0.5173,115.993,1.933,,,,,
0.8045,1.9804672002792358,5.142857142857143e-05,34.0,68,,,,,,,,,,
,,,34.0,68,0.9538828730583191,0.7166666666666667,0.5065,118.461,1.974,,,,,
0.7811,1.724195122718811,5e-05,35.0,70,,,,,,,,,,
,,,35.0,70,0.9387017488479614,0.7333333333333333,0.513,116.959,1.949,,,,,
0.7443,1.7471797466278076,4.8571428571428576e-05,36.0,72,,,,,,,,,,
,,,36.0,72,0.9203237295150757,0.7333333333333333,0.5184,115.738,1.929,,,,,
0.7326,1.8233213424682617,4.714285714285714e-05,37.0,74,,,,,,,,,,
,,,37.0,74,0.9011359810829163,0.7666666666666667,0.5105,117.529,1.959,,,,,
0.6958,1.9654924869537354,4.5714285714285716e-05,38.0,76,,,,,,,,,,
,,,38.0,76,0.8977981209754944,0.7666666666666667,0.5099,117.667,1.961,,,,,
0.662,1.6898924112319946,4.428571428571428e-05,39.0,78,,,,,,,,,,
,,,39.0,78,0.9002910256385803,0.7666666666666667,0.5127,117.027,1.95,,,,,
0.6774,1.8101840019226074,4.2857142857142856e-05,40.0,80,,,,,,,,,,
,,,40.0,80,0.8946487307548523,0.7666666666666667,0.5149,116.52,1.942,,,,,
0.6434,1.7981244325637817,4.1428571428571437e-05,41.0,82,,,,,,,,,,
,,,41.0,82,0.8883988857269287,0.7666666666666667,0.5081,118.08,1.968,,,,,
0.613,1.6828491687774658,4e-05,42.0,84,,,,,,,,,,
,,,42.0,84,0.8907296657562256,0.7666666666666667,0.5132,116.904,1.948,,,,,
0.6042,1.8190947771072388,3.857142857142858e-05,43.0,86,,,,,,,,,,
,,,43.0,86,0.8909221887588501,0.75,0.5124,117.097,1.952,,,,,
0.6054,1.6959022283554077,3.7142857142857143e-05,44.0,88,,,,,,,,,,
,,,44.0,88,0.8811112642288208,0.7666666666666667,0.5074,118.239,1.971,,,,,
0.5598,1.893271803855896,3.571428571428572e-05,45.0,90,,,,,,,,,,
,,,45.0,90,0.881953239440918,0.7666666666666667,0.5056,118.678,1.978,,,,,
0.558,1.5725440979003906,3.428571428571429e-05,46.0,92,,,,,,,,,,
,,,46.0,92,0.8810471892356873,0.7666666666666667,0.5147,116.58,1.943,,,,,
