loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
2.904,1.8088090419769287,9.857142857142858e-05,1.0,2,,,,,,,,,,
,,,1.0,2,2.7477214336395264,0.16666666666666666,0.9446,69.871,2.117,,,,,
2.7774,2.157773494720459,9.714285714285715e-05,2.0,4,,,,,,,,,,
,,,2.0,4,2.647048234939575,0.16666666666666666,0.6082,108.513,3.288,,,,,
2.6518,2.1313774585723877,9.571428571428573e-05,3.0,6,,,,,,,,,,
,,,3.0,6,2.5874974727630615,0.16666666666666666,0.6023,109.576,3.32,,,,,
2.5748,2.46354341506958,9.428571428571429e-05,4.0,8,,,,,,,,,,
,,,4.0,8,2.539675712585449,0.16666666666666666,0.6075,108.638,3.292,,,,,
2.5142,2.406633138656616,9.285714285714286e-05,5.0,10,,,,,,,,,,
,,,5.0,10,2.4539895057678223,0.2878787878787879,0.611,108.018,3.273,,,,,
2.4422,2.83292555809021,9.142857142857143e-05,6.0,12,,,,,,,,,,
,,,6.0,12,2.366533041000366,0.3333333333333333,0.6065,108.821,3.298,,,,,
2.3898,2.374502182006836,9e-05,7.0,14,,,,,,,,,,
,,,7.0,14,2.303873300552368,0.3787878787878788,0.6046,109.159,3.308,,,,,
2.2636,2.6349451541900635,8.857142857142857e-05,8.0,16,,,,,,,,,,
,,,8.0,16,2.219566822052002,0.3939393939393939,0.605,109.094,3.306,,,,,
2.1841,2.4270823001861572,8.714285714285715e-05,9.0,18,,,,,,,,,,
,,,9.0,18,2.142420768737793,0.4090909090909091,0.608,108.556,3.29,,,,,
2.0745,2.585068464279175,8.571428571428571e-05,10.0,20,,,,,,,,,,
,,,10.0,20,2.085589647293091,0.3787878787878788,0.6112,107.993,3.273,,,,,
2.0313,2.4880106449127197,8.428571428571429e-05,11.0,22,,,,,,,,,,
,,,11.0,22,2.027379035949707,0.3939393939393939,0.6063,108.851,3.299,,,,,
1.9136,2.477381706237793,8.285714285714287e-05,12.0,24,,,,,,,,,,
,,,12.0,24,1.961385726928711,0.3939393939393939,0.6117,107.898,3.27,,,,,
1.8032,2.7458252906799316,8.142857142857143e-05,13.0,26,,,,,,,,,,
,,,13.0,26,1.9061923027038574,0.45454545454545453,0.6124,107.771,3.266,,,,,
1.7689,2.440373182296753,8e-05,14.0,28,,,,,,,,,,
,,,14.0,28,1.8671683073043823,0.45454545454545453,0.6065,108.821,3.298,,,,,
1.6519,2.458796262741089,7.857142857142858e-05,15.0,30,,,,,,,,,,
,,,15.0,30,1.8305360078811646,0.5151515151515151,0.6114,107.942,3.271,,,,,
1.5703,2.552079677581787,7.714285714285715e-05,16.0,32,,,,,,,,,,
,,,16.0,32,1.8088608980178833,0.5303030303030303,0.6088,108.413,3.285,,,,,
1.5188,2.6268293857574463,7.571428571428571e-05,17.0,34,,,,,,,,,,
,,,17.0,34,1.7811260223388672,0.5303030303030303,0.6036,109.341,3.313,,,,,
1.3996,2.562415361404419,7.428571428571429e-05,18.0,36,,,,,,,,,,
,,,18.0,36,1.7479034662246704,0.5454545454545454,0.6066,108.806,3.297,,,,,
1.3405,2.2470083236694336,7.285714285714286e-05,19.0,38,,,,,,,,,,
,,,19.0,38,1.699419379234314,0.5606060606060606,0.6132,107.635,3.262,,,,,
1.2838,2.463677406311035,7.142857142857143e-05,20.0,40,,,,,,,,,,
,,,20.0,40,1.651757836341858,0.5909090909090909,0.6029,109.475,3.317,,,,,
1.2515,2.2526278495788574,7e-05,21.0,42,,,,,,,,,,
,,,21.0,42,1.6307446956634521,0.6212121212121212,0.6042,109.234,3.31,,,,,
1.1596,2.133951187133789,6.857142857142858e-05,22.0,44,,,,,,,,,,
,,,22.0,44,1.6269428730010986,0.6212121212121212,0.6068,108.767,3.296,,,,,
1.09,2.2995803356170654,6.714285714285714e-05,23.0,46,,,,,,,,,,
,,,23.0,46,1.6200531721115112,0.6212121212121212,0.6165,107.055,3.244,,,,,
1.0787,2.2854068279266357,6.571428571428571e-05,24.0,48,,,,,,,,,,
,,,24.0,48,1.604844331741333,0.5909090909090909,0.6131,107.655,3.262,,,,,
0.9905,2.336549758911133,6.428571428571429e-05,25.0,50,,,,,,,,,,
,,,25.0,50,1.5829697847366333,0.5909090909090909,0.6064,108.843,3.298,,,,,
0.9627,2.2421913146972656,6.285714285714286e-05,26.0,52,,,,,,,,,,
,,,26.0,52,1.575800895690918,0.6212121212121212,0.6062,108.883,3.299,,,,,
0.9243,2.055205821990967,6.142857142857143e-05,27.0,54,,,,,,,,,,
,,,27.0,54,1.5691168308258057,0.6212121212121212,0.6115,107.939,3.271,,,,,
0.884,2.392110586166382,6e-05,28.0,56,,,,,,,,,,
,,,28.0,56,1.5564323663711548,0.6212121212121212,0.61,108.197,3.279,,,,,
0.8166,2.026746988296509,5.8571428571428575e-05,29.0,58,,,,,,,,,,
,,,29.0,58,1.5440315008163452,0.6212121212121212,0.6101,108.175,3.278,,,,,
0.7941,1.836976408958435,5.714285714285714e-05,30.0,60,,,,,,,,,,
,,,30.0,60,1.5409760475158691,0.6363636363636364,0.6072,108.697,3.294,,,,,
0.7782,2.5123634338378906,5.571428571428572e-05,31.0,62,,,,,,,,,,
,,,31.0,62,1.5391769409179688,0.6363636363636364,0.6066,108.806,3.297,,,,,
0.737,2.3670051097869873,5.428571428571428e-05,32.0,64,,,,,,,,,,
,,,32.0,64,1.5414022207260132,0.6212121212121212,0.6064,108.845,3.298,,,,,
0.7019,2.0678727626800537,5.285714285714286e-05,33.0,66,,,,,,,,,,
,,,33.0,66,1.547533631324768,0.6212121212121212,0.611,108.025,3.273,,,,,
0.6534,1.6684305667877197,5.142857142857143e-05,34.0,68,,,,,,,,,,
,,,34.0,68,1.5463650226593018,0.6212121212121212,0.6166,107.047,3.244,,,,,
0.6564,1.8428130149841309,5e-05,35.0,70,,,,,,,,,,
,,,35.0,70,1.5465013980865479,0.6212121212121212,0.6054,109.028,3.304,,,,,
0.6095,1.6458666324615479,4.8571428571428576e-05,36.0,72,,,,,,,,,,
,,,36.0,72,1.5370445251464844,0.6515151515151515,0.6128,107.704,3.264,,,,,
0.6019,1.818548321723938,4.714285714285714e-05,37.0,74,,,,,,,,,,
,,,37.0,74,1.5355740785598755,0.6363636363636364,0.6148,107.358,3.253,,,,,
0.5944,1.8604161739349365,4.5714285714285716e-05,38.0,76,,,,,,,,,,
,,,38.0,76,1.5491507053375244,0.6363636363636364,0.607,108.726,3.295,,,,,
0.5433,1.8635181188583374,4.428571428571428e-05,39.0,78,,,,,,,,,,
,,,39.0,78,1.5644266605377197,0.6363636363636364,0.6138,107.534,3.259,,,,,
0.55,1.9061332941055298,4.2857142857142856e-05,40.0,80,,,,,,,,,,
,,,40.0,80,1.572944164276123,0.6060606060606061,0.6142,107.453,3.256,,,,,
0.4991,1.675992488861084,4.1428571428571437e-05,41.0,82,,,,,,,,,,
,,,41.0,82,1.579606056213379,0.6060606060606061,0.607,108.73,3.295,,,,,
0.4814,1.5785115957260132,4e-05,42.0,84,,,,,,,,,,
,,,42.0,84,1.5810341835021973,0.6060606060606061,0.6068,108.775,3.296,,,,,
0.4927,1.5759104490280151,3.857142857142858e-05,43.0,86,,,,,,,,,,
,,,43.0,86,1.572486400604248,0.6212121212121212,0.6095,108.281,3.281,,,,,
0.4765,1.4569785594940186,3.7142857142857143e-05,44.0,88,,,,,,,,,,
,,,44.0,88,1.5690460205078125,0.6212121212121212,0.6059,108.931,3.301,,,,,
0.4487,1.664825677871704,3.571428571428572e-05,45.0,90,,,,,,,,,,
,,,45.0,90,1.5676984786987305,0.6363636363636364,0.6084,108.489,3.288,,,,,
0.4555,1.537803053855896,3.428571428571429e-05,46.0,92,,,,,,,,,,
,,,46.0,92,1.5703798532485962,0.6212121212121212,0.6085,108.472,3.287,,,,,
0.4573,1.615692138671875,3.285714285714286e-05,47.0,94,,,,,,,,,,
,,,47.0,94,1.5796505212783813,0.6212121212121212,0.6094,108.304,3.282,,,,,
0.4114,1.4043223857879639,3.142857142857143e-05,48.0,96,,,,,,,,,,
,,,48.0,96,1.5955605506896973,0.6212121212121212,0.6076,108.63,3.292,,,,,
0.4444,1.7482292652130127,3e-05,49.0,98,,,,,,,,,,
,,,49.0,98,1.603598952293396,0.6212121212121212,0.6163,107.088,3.245,,,,,
0.4128,1.3395028114318848,2.857142857142857e-05,50.0,100,,,,,,,,,,
,,,50.0,100,1.6090314388275146,0.6212121212121212,0.6139,107.51,3.258,,,,,
0.3626,1.808852195739746,2.714285714285714e-05,51.0,102,,,,,,,,,,
,,,51.0,102,1.6097723245620728,0.6363636363636364,0.6099,108.206,3.279,,,,,
0.3825,1.4963030815124512,2.5714285714285714e-05,52.0,104,,,,,,,,,,
,,,52.0,104,1.6149605512619019,0.6363636363636364,0.6122,107.8,3.267,,,,,
0.377,1.7598848342895508,2.4285714285714288e-05,53.0,106,,,,,,,,,,
,,,53.0,106,1.6236120462417603,0.6363636363636364,0.6106,108.089,3.275,,,,,
0.3636,1.5662686824798584,2.2857142857142858e-05,54.0,108,,,,,,,,,,
,,,54.0,108,1.6300537586212158,0.6363636363636364,0.6081,108.534,3.289,,,,,
0.335,1.2194160223007202,2.1428571428571428e-05,55.0,110,,,,,,,,,,
,,,55.0,110,1.6347788572311401,0.6363636363636364,0.6242,105.738,3.204,,,,,
0.3547,1.9576661586761475,2e-05,56.0,112,,,,,,,,,,
,,,56.0,112,1.6366162300109863,0.6363636363636364,0.6081,108.537,3.289,,,,,
0.3318,1.2597832679748535,1.8571428571428572e-05,57.0,114,,,,,,,,,,
,,,57.0,114,1.6383886337280273,0.6363636363636364,0.6127,107.715,3.264,,,,,
0.3495,1.3393030166625977,1.7142857142857145e-05,58.0,116,,,,,,,,,,
,,,58.0,116,1.6429351568222046,0.6363636363636364,0.6083,108.507,3.288,,,,,
0.3426,1.63105309009552,1.5714285714285715e-05,59.0,118,,,,,,,,,,
,,,59.0,118,1.6464118957519531,0.6363636363636364,0.6039,109.29,3.312,,,,,
0.3213,1.3487982749938965,1.4285714285714285e-05,60.0,120,,,,,,,,,,
,,,60.0,120,1.6483491659164429,0.6363636363636364,0.609,108.38,3.284,,,,,
0.3005,1.1745851039886475,1.2857142857142857e-05,61.0,122,,,,,,,,,,
,,,61.0,122,1.649059534072876,0.6363636363636364,0.6112,107.983,3.272,,,,,
0.324,1.5589568614959717,1.1428571428571429e-05,62.0,124,,,,,,,,,,
,,,62.0,124,1.6506967544555664,0.6363636363636364,0.6112,107.979,3.272,,,,,
