loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
2.8727,4.908071041107178,9.8e-05,1.0,4,,,,,,,,,,
,,,1.0,4,2.769580364227295,0.16923076923076924,1.0851,59.902,2.765,,,,,
2.7721,5.099504470825195,9.6e-05,2.0,8,,,,,,,,,,
,,,2.0,8,2.750560760498047,0.16923076923076924,1.0147,64.056,2.956,,,,,
2.7253,3.523707151412964,9.4e-05,3.0,12,,,,,,,,,,
,,,3.0,12,2.7329699993133545,0.16923076923076924,1.0149,64.047,2.956,,,,,
2.7639,3.473843812942505,9.200000000000001e-05,4.0,16,,,,,,,,,,
,,,4.0,16,2.7345194816589355,0.16923076923076924,1.0149,64.043,2.956,,,,,
2.7199,3.0890960693359375,9e-05,5.0,20,,,,,,,,,,
,,,5.0,20,2.7391908168792725,0.16923076923076924,1.0168,63.926,2.95,,,,,
2.7215,3.2000551223754883,8.800000000000001e-05,6.0,24,,,,,,,,,,
,,,6.0,24,2.7376902103424072,0.16923076923076924,1.0159,63.985,2.953,,,,,
2.743,3.981985330581665,8.6e-05,7.0,28,,,,,,,,,,
,,,7.0,28,2.7388274669647217,0.16923076923076924,1.0169,63.918,2.95,,,,,
2.7373,2.5021722316741943,8.4e-05,8.0,32,,,,,,,,,,
,,,8.0,32,2.7276225090026855,0.16923076923076924,1.0156,64.0,2.954,,,,,
2.7314,2.4247219562530518,8.2e-05,9.0,36,,,,,,,,,,
,,,9.0,36,2.726351261138916,0.16923076923076924,1.0173,63.893,2.949,,,,,
2.7344,3.6591439247131348,8e-05,10.0,40,,,,,,,,,,
,,,10.0,40,2.728269100189209,0.16923076923076924,1.0146,64.064,2.957,,,,,
2.7344,2.963125467300415,7.800000000000001e-05,11.0,44,,,,,,,,,,
,,,11.0,44,2.7305400371551514,0.16923076923076924,1.0164,63.95,2.952,,,,,
2.7262,2.057231903076172,7.6e-05,12.0,48,,,,,,,,,,
,,,12.0,48,2.7366650104522705,0.16923076923076924,1.0166,63.938,2.951,,,,,
2.73,4.977596759796143,7.4e-05,13.0,52,,,,,,,,,,
,,,13.0,52,2.7418739795684814,0.16923076923076924,1.015,64.041,2.956,,,,,
2.7438,3.3946855068206787,7.2e-05,14.0,56,,,,,,,,,,
,,,14.0,56,2.7387661933898926,0.16923076923076924,1.0159,63.982,2.953,,,,,
2.732,3.09572434425354,7e-05,15.0,60,,,,,,,,,,
,,,15.0,60,2.7340478897094727,0.16923076923076924,1.0155,64.009,2.954,,,,,
2.7264,2.95959734916687,6.800000000000001e-05,16.0,64,,,,,,,,,,
,,,16.0,64,2.73227858543396,0.16923076923076924,1.015,64.039,2.956,,,,,
2.72,3.2825264930725098,6.6e-05,17.0,68,,,,,,,,,,
,,,17.0,68,2.732529640197754,0.16923076923076924,1.0144,64.08,2.958,,,,,
2.7214,3.3628194332122803,6.400000000000001e-05,18.0,72,,,,,,,,,,
,,,18.0,72,2.7354373931884766,0.16923076923076924,1.0171,63.907,2.95,,,,,
2.7243,3.235278606414795,6.2e-05,19.0,76,,,,,,,,,,
,,,19.0,76,2.737874746322632,0.16923076923076924,1.0141,64.098,2.958,,,,,
2.7207,3.1232597827911377,6e-05,20.0,80,,,,,,,,,,
,,,20.0,80,2.7361979484558105,0.16923076923076924,1.0141,64.094,2.958,,,,,
2.6981,2.7835710048675537,5.8e-05,21.0,84,,,,,,,,,,
,,,21.0,84,2.7344186305999756,0.16923076923076924,1.0143,64.084,2.958,,,,,
2.7252,3.205230236053467,5.6000000000000006e-05,22.0,88,,,,,,,,,,
,,,22.0,88,2.733119487762451,0.16923076923076924,1.0165,63.947,2.951,,,,,
2.7238,2.856593608856201,5.4000000000000005e-05,23.0,92,,,,,,,,,,
,,,23.0,92,2.73309326171875,0.16923076923076924,1.0157,63.998,2.954,,,,,
2.7198,3.0480661392211914,5.2000000000000004e-05,24.0,96,,,,,,,,,,
,,,24.0,96,2.7338778972625732,0.16923076923076924,1.0157,63.998,2.954,,,,,
2.7,3.883729934692383,5e-05,25.0,100,,,,,,,,,,
,,,25.0,100,2.7349560260772705,0.16923076923076924,1.0159,63.981,2.953,,,,,
2.691,2.1011111736297607,4.8e-05,26.0,104,,,,,,,,,,
,,,26.0,104,2.7373404502868652,0.16923076923076924,1.0152,64.029,2.955,,,,,
2.7242,3.2164435386657715,4.600000000000001e-05,27.0,108,,,,,,,,,,
,,,27.0,108,2.739365816116333,0.16923076923076924,1.0144,64.077,2.957,,,,,
2.7029,3.4533040523529053,4.4000000000000006e-05,28.0,112,,,,,,,,,,
,,,28.0,112,2.737478494644165,0.16923076923076924,1.0151,64.033,2.955,,,,,
2.7091,2.403811454772949,4.2e-05,29.0,116,,,,,,,,,,
,,,29.0,116,2.7393124103546143,0.16923076923076924,1.0152,64.026,2.955,,,,,
2.6801,3.601166009902954,4e-05,30.0,120,,,,,,,,,,
,,,30.0,120,2.7415976524353027,0.16923076923076924,1.0141,64.099,2.958,,,,,
2.7161,3.873076915740967,3.8e-05,31.0,124,,,,,,,,,,
,,,31.0,124,2.743081569671631,0.16923076923076924,1.015,64.04,2.956,,,,,
2.7098,3.4272634983062744,3.6e-05,32.0,128,,,,,,,,,,
,,,32.0,128,2.7404329776763916,0.16923076923076924,1.014,64.104,2.959,,,,,
2.7268,2.5993313789367676,3.4000000000000007e-05,33.0,132,,,,,,,,,,
,,,33.0,132,2.7378554344177246,0.16923076923076924,1.0154,64.015,2.955,,,,,
2.7198,2.5581154823303223,3.2000000000000005e-05,34.0,136,,,,,,,,,,
,,,34.0,136,2.7390599250793457,0.16923076923076924,1.0151,64.035,2.955,,,,,
2.6967,2.4964516162872314,3e-05,35.0,140,,,,,,,,,,
,,,35.0,140,2.7391247749328613,0.16923076923076924,1.0156,64.005,2.954,,,,,
2.6867,3.5073423385620117,2.8000000000000003e-05,36.0,144,,,,,,,,,,
,,,36.0,144,2.7389419078826904,0.16923076923076924,1.0145,64.068,2.957,,,,,
2.7262,3.594263792037964,2.6000000000000002e-05,37.0,148,,,,,,,,,,
,,,37.0,148,2.7366933822631836,0.16923076923076924,1.0154,64.012,2.954,,,,,
2.7147,2.327099561691284,2.4e-05,38.0,152,,,,,,,,,,
,,,38.0,152,2.7360074520111084,0.16923076923076924,1.0159,63.982,2.953,,,,,
2.7125,2.2852959632873535,2.2000000000000003e-05,39.0,156,,,,,,,,,,
,,,39.0,156,2.7346997261047363,0.16923076923076924,1.016,63.978,2.953,,,,,
2.7034,2.7508139610290527,2e-05,40.0,160,,,,,,,,,,
,,,40.0,160,2.7342312335968018,0.16923076923076924,1.0141,64.094,2.958,,,,,
2.707,3.89282488822937,1.8e-05,41.0,164,,,,,,,,,,
,,,41.0,164,2.733788013458252,0.16923076923076924,1.0149,64.044,2.956,,,,,
2.7055,2.4247372150421143,1.6000000000000003e-05,42.0,168,,,,,,,,,,
,,,42.0,168,2.7334017753601074,0.16923076923076924,1.0169,63.922,2.95,,,,,
2.7155,3.4906818866729736,1.4000000000000001e-05,43.0,172,,,,,,,,,,
,,,43.0,172,2.7334680557250977,0.16923076923076924,1.0144,64.08,2.958,,,,,
2.7144,3.027994394302368,1.2e-05,44.0,176,,,,,,,,,,
,,,44.0,176,2.733743190765381,0.16923076923076924,1.0148,64.052,2.956,,,,,
2.6849,3.0590999126434326,1e-05,45.0,180,,,,,,,,,,
,,,45.0,180,2.7333950996398926,0.16923076923076924,1.0162,63.963,2.952,,,,,
2.6932,2.9153966903686523,8.000000000000001e-06,46.0,184,,,,,,,,,,
,,,46.0,184,2.733238697052002,0.16923076923076924,1.017,63.91,2.95,,,,,
2.6918,3.039017677307129,6e-06,47.0,188,,,,,,,,,,
,,,47.0,188,2.7329483032226562,0.16923076923076924,1.0143,64.083,2.958,,,,,
2.6912,2.4752533435821533,4.000000000000001e-06,48.0,192,,,,,,,,,,
,,,48.0,192,2.73325252532959,0.16923076923076924,1.0143,64.081,2.958,,,,,
2.6986,2.839050531387329,2.0000000000000003e-06,49.0,196,,,,,,,,,,
,,,49.0,196,2.733673334121704,0.16923076923076924,1.015,64.037,2.956,,,,,
2.696,2.410144329071045,0.0,50.0,200,,,,,,,,,,
,,,50.0,200,2.733765125274658,0.16923076923076924,1.0124,64.206,2.963,,,,,
,,,50.0,200,,,,,,568.9852,21.53,0.352,1.1416814938368e+16,2.7197199153900145
